OD;Abolição;Acari;Alto da Boa Vista;Anchieta;Andaraí;Anil;Bancários;Bangu;Barra da Tijuca;Barra de Guaratiba;Barros Filho;Benfica;Bento Ribeiro;Bonsucesso;Botafogo;Brás de Pina;Cachambi;Cacuia;Caju;Camorim;Campinho;Campo Grande;Campo dos Afonsos;Cascadura;Catete;Catumbi;Cavalcanti;Centro;Cidade Nova;Cidade Universitária;Cidade de Deus;Cocotá;Coelho Neto;Colégio;Complexo do Alemão;Copacabana;Cordovil;Cosme Velho;Cosmos;Costa Barros;Curicica;Del Castilho;Deodoro;Encantado;Engenheiro Leal;Engenho Novo;Engenho da Rainha;Engenho de Dentro;Estácio;Flamengo;Freguesia (Ilha);Freguesia (Jacarepaguá);Galeão;Gamboa;Gardênia Azul;Gericinó;Glória;Grajaú;Grumari;Guadalupe;Guaratiba;Gávea;Higienópolis;Honório Gurgel;Hunaitá;Inhaúma;Inhoaíba;Ipanema;Irajá;Itanhangá;Jabour;Jacarepaguá;Jacarezinho;Jacaré;Jardim América;Jardim Botânico;Jardim Carioca;Jardim Guanabara;Jardim Sulacap;Joá;Lapa;Lagoa;Laranjeiras;Leblon;Leme;Lins de Vasconcelos;Madureira;Magalhães Bastos;Mangueira;Manguinhos;Maracanã;Marechal Hermes;Maria da Graça;Maré;Moneró;Méier;Olaria;Osvaldo Cruz;Paciência;Padre Miguel;Parada de Lucas;Parque Anchieta;Parque Colúmbia;Pavuna;Pechincha;Pedra de Guaratiba;Penha;Penha Circular;Piedade;Pilares;Pitangueiras;Portuguesa;Praia da Bandeira;Praça Seca;Praça da Bandeira;Quintino Bocaiúva;Ramos;Realengo;Recreio dos Bandeirantes;Riachuelo;Ribeira;Ricardo de Albuquerque;Rio Comprido;Rocha;Rocha Miranda;Rocinha;Sampaio;Santa Cruz;Santa Teresa;Santo Cristo;Santíssimo;Saúde;Senador Camará;Senador Vasconcelos;Sepetiba;São Conrado;São Cristóvão;São Francisco Xavier;Tanque;Taquara;Tauá;Tijuca;Todos os Santos;Tomás Coelho;Turiaçu;Urca;Vargem Grande;Vargem Pequena;Vasco da Gama;Vaz Lobo;Vicente de Carvalho;Vidigal;Vigário Geral;Vila Isabel;Vila Kennedy;Vila Kosmos;Vila Militar;Vila Valqueire;Vila da Penha;Vista Alegre;Zumbi;Água Santa
Leblon;;;1140.637;;;355.813;;424.66;6358.14;;71.907;121.776;;;;;1470.885;;1248.771;;;895.927;;;96.727;;;;674.775;1575.226;;;;;;5487.673;;;108.189;;214.409;435.417;29.649;;;95.078;577.463;718.608;1465.418;212.61;;359.705;;89.435;;;66.167;3766.613;;;;11253.84;;;872.752;;;9739.426;252.669;535.912;;2996.286;170.86;;;527.689;;;;;1834.32;;2295.465;8742.539;;;;;;831.3;3497.247;182.202;316.66;1673.656;;;;;;;411.878;;;;;;;550.018;51.944;;;;;410.102;;121.959;;;627.05;;;;122.432;299.024;;;;;1846.902;64.89;;332.261;77.741;326.654;;1291.131;820.26;;;;;3947.959;2057.758;;;344.162;;53.952;;;;1001.821;;225.868;;;;215.675;;;;
Leme;;;;;;;;127.554;451.955;;;;;;;;;;;;;;;;2967.148;;;;399.106;;;;;;;3491.782;;;;;;;;;;;;;;1556.927;;246.9;;;;;;;;;;388.734;;;163.348;;;1407.389;613.074;168.138;;;;;;;;;;;;;3393.552;207.155;1144.1;;68.285;;;249.52;;;;344.125;;;;;;;;;;;;;129.061;397.505;;;;;;;;;;;90.651;;;;68.029;;;;;;64.655;18.669;;;;;;;86.264;;;;;;;;;2378.945;;;;;;76.451;;69.615;;;;;;;;
Lins de Vasconcelos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madureira;332.231;;9.638;89.546;465.701;;;5529.18;510.03;;379.834;;4707.186;485.09;;;351.498;;120.52;19.704;518.787;451.601;333.143;3089.446;;;;;266.039;1538.938;440.188;;1199.208;1010.726;;75.477;270.367;;;206.125;501.779;847.393;1032.176;70.427;682.249;434.386;624.954;2299.375;;29.779;478.247;700.174;;13.73;;;172.574;424.664;;2374.675;38.738;;;1082.316;;;;;10082.993;;;1352.449;540.336;;276.602;;;;556.521;;;;18.989;;17.352;;7796.999;2738.956;89.482;140.124;530.778;9271.426;1328.563;2246.418;;696.848;171.092;7034.929;;;853.598;535.201;;1143.471;1404.507;;578.826;3535.994;1508.237;;;122.726;;4360.672;381.195;1893.978;600.443;276.622;295.368;;;;;44.939;763.118;;;334.538;565.601;;;162.466;;176.555;108.003;;645.118;;1170.563;;33.351;55.668;835.97;;809.696;60.707;91.329;64.418;;;951.804;;906.404;1142.321;;666.452;;5062.453;;;;
Magalhães Bastos;;;;470.79;;;;5158.826;558.827;;;;;383.864;;;159.633;;;;;;348.177;237.284;;;;;;;1383.988;;;;;56.588;;;;;;;243.972;;;115.801;;214.23;171.205;;;654.755;;;;;;;;;;;;;;;168.029;;;;;84.908;323.409;;;;;;;;;;;;;;3002.195;642.764;;;1013.878;721.878;;123.228;;158.421;;84.481;;;141.169;;;390.166;;;;;;;;;;;;1142.18;;862.327;;;;;;;;;;;;;;163.217;;;;;;;;;;349.981;;;291.966;;;;;;;;;206.392;;;;;;;;
Mangueira;;;;;49.84;;;97.688;;;;;;68.89;;;;;70.964;;;;;48.715;;;;;240.871;;;;;;91.51;132.848;26.515;;;;;237.961;;;23.738;108.132;;;;127.479;;71.452;;;;;;88.402;;;;;;;277.268;;;272.84;158.192;;;;184.419;;;;;;;;;;17.393;;;;84.341;;106.438;48.047;97.332;;189.429;570.799;;98.555;39.138;;;;;;;;;;;90.359;;;;;;;104.398;96.012;35.851;;;;;;221.744;;;;;;76.432;;;69.248;;;;;837.35;;80.236;;;254.386;;;;26.914;;;;;79.516;;;370.035;;;;;;;;
Manguinhos;20.19;;10.951;72.852;;94.219;;300.844;100.846;;;57.829;;1314.751;;;408.422;;794.12;;;16.2;;201.276;102.924;;;;7.285;;;;;;31.597;189.458;294.739;;;;;137.683;317.494;;;240.319;315.395;270.083;111.392;7.902;;214.38;;13.514;;;;469.474;;;8.611;6.177;;;6.476;29.401;;431.648;215.856;;;159.523;166.794;;;;;7.904;;;104.712;;172.68;203.966;66.723;;198.825;;50.025;1183.878;798.353;164.102;192.344;2264.263;;20.576;;21.405;;;10.535;;;77.216;2037.977;;395.051;1541.647;7.924;;;;;;130.685;;111.628;136.475;;19.69;;;;154.972;;;;40.752;344.86;19.918;;14.376;180.557;;36.422;6.789;2334.969;;;;;194.704;119.636;;;5.58;;;;;;;;291.234;;;37.166;;;;;
Maracanã;275.694;;478.727;79.588;1564.877;;;2086.244;2814.149;;;191.334;242.475;966.231;;59.502;1120.461;;506.139;;28.334;212.516;14.808;474.126;1458.951;;;;1176.77;415.485;595.049;126.695;;1015.389;1698.986;3311.34;915.81;;128.273;;;2256.433;111.437;237.855;;2087.623;2372.701;1279.78;1461.272;1261.097;;547.936;466.332;165.297;;;311.438;4731.317;;516.744;;2020.629;;162.624;654.247;;;375.039;1003.816;201.564;;1775.48;576.791;;;;;410.01;83.873;;594.308;;1171.113;2389.897;;;984.365;161.287;94.399;829.798;20383.045;84.023;1804.459;2145.219;;3237.99;1402.458;579.905;284.845;;397.177;53.988;;227.548;186.89;;2376.607;1866.686;686.517;;;1569.006;;112.538;243.549;615.942;559.951;214.86;289.501;508.827;;;342.365;962.626;;;95.265;;3066.632;221.976;;207.246;;;;158.65;2494.965;;148.618;;327.886;12835.656;294.143;;513.524;908.228;112.71;147.725;;;162.139;;841.792;5351.911;;100.559;100.52;320.769;;;;
Marechal Hermes;;;218.505;896.703;;;;5243.241;171.165;;598.471;114.289;2278.466;;;;;;432.953;;;1241.493;116.049;898.521;;;;;;1159.348;;;312.642;;;64.459;231.073;;;;;150.897;463.401;;224.092;74.699;1492.328;634.543;;;562.885;163.047;;;;;;69.158;;608.486;59.939;;;159.338;;;;;1371.806;;;134.479;;;;;;;95.354;;;;;165.843;;;6508.618;522.213;;231.204;724.411;3205.16;240.762;1777.763;;280.013;56.198;3164.559;;;348.612;260.423;;777.848;;;109.174;;1364.127;;;;;608.322;;60.078;55.954;955.765;61.381;;;;;;222.865;;;;;;174.937;;310.673;;120.684;;444.118;;816.023;;;68.996;254.238;;170.127;;;;;;32.996;;180.692;;;;39.312;2487.552;;;;
Maria da Graça;69.404;;;;130.424;;;512.032;;;;112.042;;258.146;;;467.321;;26.682;;;;5.568;240.575;;;;;;87.528;;;;;466.159;67.096;;;;;;1555.038;;;;85.248;1224.519;1485.941;;;;;;;;;;228.604;;;;;;;;68.855;;;516.877;;;304.537;772.31;;63.37;;;;;;;;81.922;1240.124;;;1449.632;;187.969;706.635;1630.09;99.782;1813.718;1004.569;;1323.392;;;;;;;;;;;567.553;;143.513;;;;;;;231.086;379.27;;;;;67.873;;;;;;;;;;141.59;;;160.924;;516.272;;;;;206.74;1441.14;;;75.558;;;;;;;287.457;660.236;;;;;;;;
Maré;;;;560.993;389.165;;;1709.645;1530.701;;;;;4183.075;;624.163;251.316;;1249.516;;;981.16;20.641;291.673;2715.25;;;;327.402;3945.441;402.116;432.45;496.024;;4953.181;1135.014;553.051;;;;;1770.188;289.436;;;868.625;1802.564;1866.343;;;134.405;;795.186;56.657;;;88.732;616.408;;827.229;;215.659;;;;327.332;;;4310.402;209.291;;291.111;1095.858;;920.376;714.022;;186.764;44.392;;;;561.978;4213.251;73.097;;920.539;;694.479;2327.747;7236.665;1900.654;868.258;32265.625;;2126.646;3069.86;213.667;;;1742.328;;;1418.413;;;3305.965;4642.5;1329.261;;;322.361;;;;537.376;6494.096;119.727;2102.713;100.581;;;;443.236;153.226;;;340.949;796.084;248.566;;1236.869;;;;6.405;1841.298;;;;1415.682;3290.017;466.689;;63.71;2.364;;;;;196.883;;334.232;1189.713;;575.388;;450.928;;;;
Moneró;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Méier;536.608;;1012.935;159.983;452.879;202.111;;1161.884;339.971;;;186.902;99.136;848.118;;;1350.764;;153.038;;135.549;236.513;5.923;1938.058;173.36;;;;999.333;93.448;;;;48.818;866.228;1442.097;;;362.522;;163.47;985.433;222.875;283.441;26.856;4263.062;2062.028;6926.969;59.791;102.373;;918.48;672.564;176.2;;;;1011.828;;99.883;195.902;;;195.738;;;;3011.37;757.607;;;42.943;1765.852;;;;;;;;;;315.911;;;;1253.099;247.208;129.662;34.574;2738.177;288.056;1592.616;1693.998;;12443.267;;101.867;;;48.254;;;264.928;;;1858.399;1975.78;2984.229;;;1266.639;;;192.413;4040.804;376.025;;1211.117;370.192;;;;963.481;135.908;;143.789;;594.213;;;;;;;82.121;;;272.694;;;1154.372;1289.718;;;204.368;;;;;305.085;;;2957.73;;902.099;29.174;723.594;;;;
Olaria;;;;;;;;;37.126;;;;;629.269;;;;;41.175;;;506.569;;;93.284;;;;;146.388;;;;;2253.401;54.39;1766.205;;;;;329.601;;;;;;18.833;;;;;10.824;21.687;;;;294.041;;;;;;;;;;;2282.585;;;;;;;;;97.843;;;555.338;;87.687;;;;300.558;;48.006;;1615.994;234.839;;3079.3;;;670.732;;;;254.425;;;;;;971.353;3582.934;;;;;;;;;925.082;;;;;;;;;;;;677.913;;;;;;;;299.906;;;;;964.385;;;;5.245;;;;;;;;;;;;506.758;;;;
Osvaldo Cruz;839.158;;48.297;;;;;970.288;48.627;;;;2637.843;;;;;;;;314.655;993.889;128.456;5091.239;;;;;1102.245;;62.578;;;;;374.705;83.962;;;;;370.497;63.596;;;;194.894;660.805;;;;;70.897;575.651;;;;;;603.878;;520.922;;149.625;;;;35.155;3859.804;;;71.241;;;;87.616;;;1833.181;;;;88.25;;;;4864.397;101.01;;137.565;393.492;3745.366;;927.556;;121.562;;332.998;428.266;;;400.752;;859.273;;;216.814;1157.334;875.162;;;;;1330.052;;1161.449;102.734;317.191;55.082;;;;;88.25;;;;;;;;202.012;;;;;153.658;;;;;79.904;21.894;;675.601;;;;;;;;122.095;997.307;;260.146;;2433.497;;;;
Paciência;;;;;;;;830.98;228.716;;;;;;;;;;195.367;128.479;;14437.5;;;;;;;;1287.885;;;613.506;;;;;;2825.141;;;;;;;;;;;;;;;;;;;;;;;;;;;;555.802;;1028.441;;;190.431;;;;;;;;;;;;;;;59.921;;;;632.618;;;;;;;248.777;4860.862;;;;;;;411.124;838.41;;;;;;;;;;;;61.139;;;;;;;;;11616.483;;;160.311;;;428.178;804.915;;;;;;;177.663;;;;;;;;;;;;;;;;;;;;
Padre Miguel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parada de Lucas;;;30.207;;;;;320.325;;;;;;58.417;;50.42;;;17.192;;;;;;;;;;22.395;29.652;;95.591;311.008;;1667.239;;51.18;;;1646.125;;701.205;;228.236;;;52.607;108.911;;12.542;;206.759;49.753;31.76;;;;;;;;;;;;;215.811;;1476.607;29.018;;69.856;81.314;;219.009;;;;;;;;;44.029;;;539.225;213.166;;8.292;188.458;524.318;;556.394;;45.861;78.412;;;;149.468;;;66.498;;;320.427;693.337;;;;;;;43.627;;55.663;;56.999;58.929;;;;;;;;;39.3;72.416;;42.299;;;;;250.765;;35.842;;259.132;;67.64;;;;;;;;100.549;;140.432;216.074;;;;724.791;;;;
Parque Anchieta;;;;2344.491;;;;148.449;;;;;;102.043;;;135.019;;158.49;;;;;;;;;;;304.285;;;;;;182.545;;;;224.863;;308.201;360.727;;;115.133;1095.89;;;30.343;;;1712.491;;;;;;;511.448;;;;;;;;48.475;;;;;;;;52.173;;;;;;;225.272;;;;644.736;;;;93.645;465.968;;;;;;242.946;;;;338.652;;361.276;;;338.148;91.772;;;;;;;;;;702.551;;;;249.66;;;99.124;;;;;;;;;;;;356.955;;;;;163.898;;;;;;;;;;;;;;;296.883;;;;;
Parque Colúmbia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pavuna;;;42.279;2399.389;;;;1517.164;663.057;;432.516;;457.41;110.253;;;;;245.989;;;642.248;27.877;835.479;;;;;128.529;35.44;;107.012;1556.039;62.652;3436.384;66.431;267.998;;;2281.964;;1222.606;103.73;;54.454;185.726;1340.903;2648.739;;;;430.571;137.235;;;;;;;532.789;;;;340.197;;;293.39;;3976.774;;;28.709;;;472.842;;;42.603;;;;;198.058;;;;1011.531;278.097;;;185.746;1266.512;;911.859;;266.805;;1494.048;;;58.238;485.334;;18810.442;;;96.862;2097.739;127.602;;;83.81;;41.115;77.386;46.931;;499.193;328.871;;;700.268;;46.821;543.653;;;;;;;37.51;;;;;697.652;;27.164;;;258.102;117.264;;;77.443;;;;;105.638;;618.732;162.584;;;90.072;65.083;;;;
Pechincha;212.655;;;160.923;;144.22;;916.063;2123.246;;;;;;;;;;;;;;;103.005;149.314;;;;;492.647;;;;;;277.375;;;;;;;;;;100.023;;678.544;;;;1694.313;;151.248;;;;;;;;1718.545;;;;;;;154.417;68.748;;1431.009;;;;;;;51.726;;58.933;;;230.404;;;794.305;;;209.47;89.984;;;;;;;;;;;;;;1646.734;;;;743.709;;;;;403.994;;;155.129;;268.064;;;;;;;;;;;;;;;;;;;;1127.037;;;280.156;;;;103.384;;;;;;;;;;;;;;;;
Pedra de Guaratiba;;;;;;;;602.028;580.643;;;;;;;;;;;;;2867.018;;;;;;;;52.44;;;;;;259.003;;;;;;;6.355;;;;;;;;;;;;;;;;;;5214.234;;;;;;;;130.574;;;;;;;;;;;;;;502.285;;;;;;;;;;;;;;;;397.08;;;;;;;1791.411;;;;;;;;;;;106.639;;444.718;;;;;;;;;1015.974;;;142.643;;;;;;;;57.122;;;76.745;282.494;;;;;;;;;;;;;;;;;;;
Penha;;;;179.79;2.689;382.236;;1373.886;685.803;;;;;1297.06;;1170.208;;;492.017;;27.451;78.028;9.299;88.815;;;;;100.644;235.764;267.305;;145.369;;2020.803;1481.993;7766.279;;;;92.702;1889.12;;;52.343;155.126;218.783;342.903;588.336;;;180.82;1237.692;;;;30.977;491.351;;159.927;;;;79.996;435.353;;;;2718.888;79.1;;1278.804;150.086;;413.237;;;;;;12.335;;345.947;;64.053;;1101.919;;;606.366;1813.191;485.039;463.612;2534.168;;1963.258;967.782;433.606;;;558.652;124.502;;164.893;;;4372.921;12700.472;139.23;;;1130.349;;116.53;;381.998;3218.576;4.391;;;;;;;;;;;67.364;6.124;;;;;146.51;;839.715;;114.06;;240.098;649.067;311.725;;;4.219;;62.13;;;;;980.952;1076.179;;;;105.171;;;;
Penha Circular;;;267.046;;140.777;;;1626.943;2208.278;;55.562;32.966;;1191.138;;6377.225;149.763;;476.915;;;938.256;;783.734;382.918;;;;199.573;1676.013;;688.374;394.131;429.183;761.8;393.85;5986.186;;;413.733;;2199.226;34.627;;13.898;;1003.117;;;;;79.836;942.238;107.276;;;27.005;486.254;;;;327.121;;204.65;;245.195;;;18644.228;;;206.091;455.44;;246.727;;;126.288;;;477.271;;138.016;1078.265;636.935;;5578.596;;86.906;1485.149;1441.004;;;3879.967;;1039.848;2546.682;2655.125;;;931.36;81.674;;916.033;;;12319.545;19881.05;573.744;;;;;;108.597;64.285;1847.968;96.134;180.496;;;70.01;;216.313;206.696;;;632.129;328.966;;48.009;145.61;;;;10.433;1451.365;;670.352;;;339.102;496.696;;628.728;134.659;;271.084;;;289.741;;1566.672;501.542;;626.168;314.993;1480.258;;;;
Piedade;222.251;;5.951;;423.004;;;366.254;1112.844;;;;;167.584;;;290.404;;285.69;9.555;;446.048;115.8;1926.652;;;;;53.083;70.064;;;;;;232.604;;;;;;703.354;14.887;171.185;;597.205;1654.009;3002.965;;;;1503.401;124.316;167.584;;;;485.042;;350.184;;;;129.923;;93.585;;299.215;810.841;;;137.469;51.027;;63.275;;;1502.693;13.369;;502.458;;199.091;642.419;;;1780.414;;;13.723;1049.836;1216.802;167.584;364.299;;3231.628;;463.34;;;;;;48.831;158.301;;186.263;558.187;4479.947;;;;;487.225;;3483.297;;;;158.325;;;;45.989;;;;;;;210.928;139.969;;;68.437;53.151;542.398;;157.803;;;2146.975;1968.348;;269.032;;;116.139;;;76.906;;;522.377;;410.245;63.931;104.168;;;;
Pilares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pitangueiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portuguesa;;;;;;;;;48.902;;;;;;;;;;;;;359.139;;;;;;;;832.685;;5439.488;;;362.51;172.127;;;;;;;;;;;;78.257;;;2490.649;;5092.686;;;;;;;;;;;106.398;;;;;286.872;;;70.207;;;;;;2813.68;;;;;;;;;133.908;;;;3098.364;;;770.207;;416.161;;;;;;;;82.208;;;1678.813;;;;;7400.719;;;;;688.06;;;;;;;;;;;;;;;259.521;;;;;259.226;;;;8068.556;836.431;;;;;;;;;;;;;;;;;;;;
Praia da Bandeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Praça Seca;;;;;219.445;304.785;;;1203.212;;;;;;;;;;27.753;;2123.532;;;389.302;;;;;;;;;;;;;;;;;417.327;531.319;33.206;;;;338.445;13.028;;;;2039.058;;;;;986.204;;;85.44;;215.458;;;;;;143.585;1325.49;121.386;;1204.432;;;;;;;;;;;;658.909;;;5672.173;;;233.452;333.428;2658.48;;;;;;1005.576;;;;;;104.939;;;268.754;;454.173;;;;;4589.055;;;;926.545;;;;;;;243.506;;;;;;;;;;350.863;;;;2471.119;;;;222.184;;;;;;;;;;;301.199;;219.714;129.214;4653.914;;;;
Praça da Bandeira;;;24.703;;;;;288.035;635.242;;229.121;;179.808;70.169;;;;;329.858;;44.743;177.109;;42.183;;;;;465.206;;;;797.375;;763.371;;164.402;;;;;;8.75;255.674;;221.226;;219.683;536.083;;;;147.539;159.605;;;;3029.758;;;9.332;180.698;;;;;;322.848;48.867;;;;104.532;;;720.28;;;;;277.322;;;;;;78.831;;171.934;126.487;521.335;;;;;;;;;;78.203;;;85.461;;;;117.833;;;;;;;208.152;99.551;;;;72.183;;;;;;;;;87.849;;;;;;;91.607;228.091;;;;;1250.969;103.176;;;;;;;;;916.853;;798.546;;;49.691;;;;;
Quintino Bocaiúva;;;293.669;;;148.223;;444.853;329.165;;;127.101;127.269;118.574;;167.411;597.058;;;;141.725;;;1490.375;;;;;;64.978;36.835;;;;128.242;158.917;;;;;127.101;1032.242;29.855;77.067;89.222;751.998;713.658;2443.222;;39.33;;;40.663;;;;;171.866;;275.568;;;;;;177.778;;;202.083;;;45.81;248.151;;;;;;;;;;249.821;120.974;;;1739.952;501.596;64.212;;391.757;74.534;223.672;637.049;;3366.24;;216.613;;;;;;302.482;;;473.942;97.87;2635.47;;;;;;286.455;1087.956;58.381;;;;;;;94.042;103.208;;27.256;;;;;;;;;;340.773;;323.769;;;;1465.464;;168.502;309.537;;;;;485.271;;220.481;263.03;;242.658;;355.402;;;;
Ramos;;;;;;;;1493.69;738.84;;;;177.794;601.311;;185.906;;;319.65;;;969.818;;;;;;;151.254;320.2;;;;;2470.993;36.19;806.478;;736.355;1487.728;;381.469;16.998;;;209.049;957.934;308.438;;84.908;;;3621.919;;;;;;;237.761;;;;;;84.335;;461.01;314.778;;;;304.274;;;85.162;;177.712;;;;;224.756;;;;1226.231;;48.715;149.632;770.173;224.165;302.48;4948.443;;266.322;1124.019;;;;30.083;;;;836.746;146.081;4983.055;2936.642;;;;638.559;;;;130.634;1739.018;246.797;;;;;;162.183;;;;;45.912;;;;;;;;174.034;;;;1341.029;1149.805;;;;268.499;;;;;;;;150.33;;;;;;;;
Realengo;337.06;;26.879;161.159;;15.823;;13432.985;190.357;;100.539;;1499.872;;;;;;913.369;209.499;40.411;2245.332;283.476;21.14;;;;;264.35;253.747;;;355.141;;;88.511;1731.246;;432.818;54.392;;;300.656;;;;;;;;;14.406;;;;;;;;409.536;;146.778;;;;;;173.071;2710.406;;;248.787;34.802;;;;;;187;;;;35.503;;;;196.015;582.148;;99.991;90.682;1420.036;;238.495;;151.124;;294.654;;;;616.966;;207.918;;;3.789;19.013;;;;;;1098.545;;;1796.194;9303.883;782.934;;;;;;154.536;;;428.408;;;539.661;;;;;;432.023;;16.833;;;375.545;359.722;;;;;;;;;;;222.871;;396.777;292.001;671.81;;;;
Recreio dos Bandeirantes;;;200.526;126.834;524.415;341.392;;554.843;16145.358;;;;;46.152;;;;;54.575;292.078;;840.382;;88.81;;;;;;208.939;349.392;;;;;386.046;;;;;292.546;;;;;38.991;209.995;;;;380.312;1004.66;1117.04;;;;;;11.111;;1315.066;;;;55.963;;;242.301;500.09;243.132;;3493.289;14.485;;;;;;44.177;;446.152;;;1216.866;143.59;;462.314;;;;162.431;240.435;;479.208;;684.896;;720.026;278.008;;327.454;;;373.329;429.22;166.1;;;;;;;;;;;;2537.772;19959.742;;;114.711;547.235;;;;107.91;514.158;616.582;;163.625;;;;;231.191;482.106;;454.204;;185.346;473.464;265.544;;;;4757.435;1399.393;;;;;;185.81;;;;;;;;
Riachuelo;;;;;;;;;139.657;;;70.38;;70.38;;;;;99.18;;;;;;;;;;122.784;;;;;;114.305;116.971;114.649;;;;;588.055;;;;510.002;;205.351;;;;;;;;;;;;;;57.071;;;;;;188.173;185.1;;;18.273;;;122.729;;;;;;;;84.606;;;;;;;;442.728;;;66.157;;345.688;;;;;116.805;;;;;;;;;;;;;;60.574;;;;;;;;;;;;40.028;;;;;;;;;;23.228;;;;;172.146;62.153;;;;;;;;;;;237.347;;;;;;;;
Ribeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo de Albuquerque;;;396.076;320.904;;;;180.51;23.634;;;;;;;;;;;;117.411;;264.755;109.187;;;;;;;;;;;;36.082;;;;;;;156.224;;;;120.821;;;;;;;;;;;;;143.367;;;;;;;;;;;;71.252;;;;;;;;;;;;;;;;;;;;;64.524;;;;;;;;;264.129;;708.808;;;;61.721;;;;;;;;;;102.635;207.304;;;563.554;59.115;;;;;;;;;;;;;;;;62.569;;;146.462;;;;;;;;;;;126.061;;;;;;;;;
Rio Comprido;;;321.535;;;;;;217.285;;;;;63.341;;;113.115;;149.978;;;;;;146.987;;;;235.055;;;80.796;;;;18.452;;;;;;;13.714;;;87.869;;;96.215;44.515;;;52.634;;;;;;;;;;;;;;;;99.098;;;;45.215;;;;;;;;;;342.424;65.028;17.142;;;;259.787;;493.197;;;;;;;;;;;;;;;;;;;;;;;;;;;;733.386;;;203.052;129.857;;;;;40.693;740.706;;;;;;;;132.795;;;;;652.861;;;;;;;;;;;;;;;27.114;;;;;
Rocha;;;;;;;;85.247;16.778;;;;;303.48;;;184.582;;;;;;;64.816;;;;;261.664;29.68;;;;;;108.462;49.798;;;;;;112.078;;;451.799;106.176;177.818;;29.876;;158.797;;;;;;;;;;;;;14.515;;;;46.366;;;43.871;1437.856;;;;;;;;;;77.231;390.894;;;96.461;;;110.685;1030.721;;;253.676;;1487.921;;62.786;;;;;;101.431;;;;298.8;22.429;;;;;;;148.722;201.669;;;;;;;;;;54.094;;166.521;;;;190.436;;;;351.916;;80.032;;;501.626;96.172;;;82.554;;;;;;;213.185;239.541;;;;;;;;
Rocha Miranda;;;;;;;;;112.396;;122.668;;625.271;167.515;;;;;;;;118.444;;501.212;;;;;70.238;;;;1640.127;616.744;116.437;;124.901;;;;;93.944;9.512;;;;;315.141;;;;276.407;188.005;;;;;;;755.626;;;;812.729;;;;;3797.263;;;;144.149;;;;;;;;;;57.915;;;;906.58;;;;;364.924;;180.669;;41.758;;;;;;96.604;;596.885;;;;138.474;;;;;;152.887;;103.341;;162.623;;;;;;;1277.226;;;;;;;;;;;;186.78;;;;;106.049;;;584.839;;;;;;;;;165.066;;;;460.132;;;;
